x,response
-70.005,-1.18076
-68.09,-1.10655
-65.13,-1.0447
-61.823,-1.01584
-58.167,-0.96224
-54.163,-0.95812
-50.682,-0.90865
-47.374,-0.87154
-43.718,-0.82206
-39.714,-0.78496
-36.059,-0.73548
-32.229,-0.69425
-28.573,-0.6489
-25.44,-0.57881
-22.132,-0.50871
-18.65,-0.45099
-15.343,-0.38915
-12.209,-0.31906
-9.076,-0.25309
-5.594,-0.19124
-2.113,-0.13352
1.543,-0.0758
4.851,-0.01395
8.158,0.05201
11.64,0.11386
14.948,0.1757
18.081,0.2458
21.04,0.31589
24.348,0.38185
28.004,0.43545
30.963,0.50554
34.793,0.55502
37.752,0.62099
41.06,0.68283
44.542,0.73231
48.371,0.76117
52.027,0.79828
55.509,0.84775
59.164,0.89723
62.646,0.94258
65.606,1.0003
68.391,1.02504
